layer,norm_depth,act_type,knockout_type,stimulus_set,accuracy_drop,n_changed,n_total,is_critical
14,0.9375,m,zero,seta,0.4625,37,80,true
15,1.0,m,zero,seta,0.2,16,80,true
0,0.0625,m,zero,setb,0.08333333333333333,8,96,false
1,0.125,m,zero,setb,0.125,12,96,false
2,0.1875,m,zero,setb,0.11458333333333333,11,96,false
3,0.25,m,zero,setb,0.21875,21,96,true
4,0.3125,m,zero,setb,0.14583333333333334,14,96,false
5,0.375,m,zero,setb,0.17708333333333334,17,96,false
6,0.4375,m,zero,setb,0.1875,18,96,false
7,0.5,m,zero,setb,0.2708333333333333,26,96,true
8,0.5625,m,zero,setb,0.3958333333333333,38,96,true
9,0.625,m,zero,setb,0.5416666666666666,52,96,true
10,0.6875,m,zero,setb,0.5208333333333334,50,96,true
11,0.75,m,zero,setb,0.34375,33,96,true
12,0.8125,m,zero,setb,0.3229166666666667,31,96,true
13,0.875,m,zero,setb,0.34375,33,96,true
14,0.9375,m,zero,setb,0.71875,69,96,true
15,1.0,m,zero,setb,0.375,36,96,true
0,0.0625,m,random,seta,0.025,2,80,false
1,0.125,m,random,seta,0.1125,9,80,false
2,0.1875,m,random,seta,0.0625,5,80,false
3,0.25,m,random,seta,0.1,8,80,false
4,0.3125,m,random,seta,0.05,4,80,false
5,0.375,m,random,seta,0.075,6,80,false
6,0.4375,m,random,seta,0.0875,7,80,false
7,0.5,m,random,seta,0.2125,17,80,true
8,0.5625,m,random,seta,0.2625,21,80,true
9,0.625,m,random,seta,0.2125,17,80,true
10,0.6875,m,random,seta,0.3875,31,80,true
11,0.75,m,random,seta,0.225,18,80,true
12,0.8125,m,random,seta,0.225,18,80,true
13,0.875,m,random,seta,0.2125,17,80,true
14,0.9375,m,random,seta,0.4,32,80,true
15,1.0,m,random,seta,0.6625,53,80,true
0,0.0625,m,random,setb,0.25,24,96,true
1,0.125,m,random,setb,0.2916666666666667,28,96,true
2,0.1875,m,random,setb,0.2916666666666667,28,96,true
3,0.25,m,random,setb,0.2604166666666667,25,96,true
4,0.3125,m,random,setb,0.1875,18,96,false
5,0.375,m,random,setb,0.2708333333333333,26,96,true
6,0.4375,m,random,setb,0.2604166666666667,25,96,true
7,0.5,m,random,setb,0.4479166666666667,43,96,true
8,0.5625,m,random,setb,0.5104166666666666,49,96,true
9,0.625,m,random,setb,0.6875,66,96,true
10,0.6875,m,random,setb,0.5729166666666666,55,96,true
11,0.75,m,random,setb,0.5,48,96,true
12,0.8125,m,random,setb,0.4895833333333333,47,96,true
13,0.875,m,random,setb,0.375,36,96,true
14,0.9375,m,random,setb,0.6979166666666666,67,96,true
15,1.0,m,random,setb,0.75,72,96,true
