layer,norm_depth,act_type,knockout_type,stimulus_set,accuracy_drop,n_changed,n_total,is_critical
2,0.0938,m,zero,setb,0.041666666666666664,4,96,false
3,0.125,m,zero,setb,0.03125,3,96,false
4,0.1562,m,zero,setb,0.020833333333333332,2,96,false
5,0.1875,m,zero,setb,0.07291666666666667,7,96,false
6,0.2188,m,zero,setb,0.052083333333333336,5,96,false
7,0.25,m,zero,setb,0.11458333333333333,11,96,false
8,0.2812,m,zero,setb,0.08333333333333333,8,96,false
9,0.3125,m,zero,setb,0.15625,15,96,false
10,0.3438,m,zero,setb,0.07291666666666667,7,96,false
11,0.375,m,zero,setb,0.14583333333333334,14,96,false
12,0.4062,m,zero,setb,0.21875,21,96,true
13,0.4375,m,zero,setb,0.17708333333333334,17,96,false
14,0.4688,m,zero,setb,0.13541666666666666,13,96,false
15,0.5,m,zero,setb,0.17708333333333334,17,96,false
16,0.5312,m,zero,setb,0.17708333333333334,17,96,false
17,0.5625,m,zero,setb,0.1875,18,96,false
18,0.5938,m,zero,setb,0.20833333333333334,20,96,true
19,0.625,m,zero,setb,0.11458333333333333,11,96,false
20,0.6562,m,zero,setb,0.1875,18,96,false
21,0.6875,m,zero,setb,0.17708333333333334,17,96,false
22,0.7188,m,zero,setb,0.125,12,96,false
23,0.75,m,zero,setb,0.14583333333333334,14,96,false
24,0.7812,m,zero,setb,0.14583333333333334,14,96,false
25,0.8125,m,zero,setb,0.17708333333333334,17,96,false
26,0.8438,m,zero,setb,0.0625,6,96,false
27,0.875,m,zero,setb,0.16666666666666666,16,96,false
28,0.9062,m,zero,setb,0.15625,15,96,false
29,0.9375,m,zero,setb,0.1875,18,96,false
30,0.9688,m,zero,setb,0.23958333333333334,23,96,true
31,1.0,m,zero,setb,0.5625,54,96,true
0,0.0312,m,random,seta,0.025,2,80,false
1,0.0625,m,random,seta,0.0375,3,80,false
2,0.0938,m,random,seta,0.0375,3,80,false
3,0.125,m,random,seta,0.075,6,80,false
4,0.1562,m,random,seta,0.0375,3,80,false
5,0.1875,m,random,seta,0.0875,7,80,false
6,0.2188,m,random,seta,0.075,6,80,false
7,0.25,m,random,seta,0.075,6,80,false
8,0.2812,m,random,seta,0.15,12,80,false
9,0.3125,m,random,seta,0.1375,11,80,false
10,0.3438,m,random,seta,0.1625,13,80,false
11,0.375,m,random,seta,0.1625,13,80,false
12,0.4062,m,random,seta,0.225,18,80,true
13,0.4375,m,random,seta,0.1875,15,80,false
14,0.4688,m,random,seta,0.1875,15,80,false
15,0.5,m,random,seta,0.1875,15,80,false
16,0.5312,m,random,seta,0.2125,17,80,true
17,0.5625,m,random,seta,0.2125,17,80,true
18,0.5938,m,random,seta,0.2875,23,80,true
19,0.625,m,random,seta,0.125,10,80,false
20,0.6562,m,random,seta,0.1875,15,80,false
21,0.6875,m,random,seta,0.1375,11,80,false
22,0.7188,m,random,seta,0.1,8,80,false
23,0.75,m,random,seta,0.1375,11,80,false
24,0.7812,m,random,seta,0.125,10,80,false
25,0.8125,m,random,seta,0.15,12,80,false
26,0.8438,m,random,seta,0.15,12,80,false
27,0.875,m,random,seta,0.2375,19,80,true
28,0.9062,m,random,seta,0.1625,13,80,false
29,0.9375,m,random,seta,0.125,10,80,false
30,0.9688,m,random,seta,0.1875,15,80,false
31,1.0,m,random,seta,0.625,50,80,true
0,0.0312,m,random,setb,0.052083333333333336,5,96,false
1,0.0625,m,random,setb,0.041666666666666664,4,96,false
2,0.0938,m,random,setb,0.03125,3,96,false
3,0.125,m,random,setb,0.0625,6,96,false
4,0.1562,m,random,setb,0.020833333333333332,2,96,false
5,0.1875,m,random,setb,0.0625,6,96,false
6,0.2188,m,random,setb,0.10416666666666667,10,96,false
7,0.25,m,random,setb,0.11458333333333333,11,96,false
8,0.2812,m,random,setb,0.125,12,96,false
9,0.3125,m,random,setb,0.15625,15,96,false
10,0.3438,m,random,setb,0.10416666666666667,10,96,false
11,0.375,m,random,setb,0.19791666666666666,19,96,false
12,0.4062,m,random,setb,0.1875,18,96,false
13,0.4375,m,random,setb,0.23958333333333334,23,96,true
14,0.4688,m,random,setb,0.22916666666666666,22,96,true
15,0.5,m,random,setb,0.15625,15,96,false
16,0.5312,m,random,setb,0.15625,15,96,false
17,0.5625,m,random,setb,0.21875,21,96,true
18,0.5938,m,random,setb,0.2604166666666667,25,96,true
19,0.625,m,random,setb,0.17708333333333334,17,96,false
20,0.6562,m,random,setb,0.21875,21,96,true
21,0.6875,m,random,setb,0.23958333333333334,23,96,true
22,0.7188,m,random,setb,0.21875,21,96,true
23,0.75,m,random,setb,0.17708333333333334,17,96,false
24,0.7812,m,random,setb,0.15625,15,96,false
25,0.8125,m,random,setb,0.21875,21,96,true
26,0.8438,m,random,setb,0.13541666666666666,13,96,false
27,0.875,m,random,setb,0.23958333333333334,23,96,true
28,0.9062,m,random,setb,0.16666666666666666,16,96,false
29,0.9375,m,random,setb,0.23958333333333334,23,96,true
30,0.9688,m,random,setb,0.3020833333333333,29,96,true
31,1.0,m,random,setb,0.7395833333333334,71,96,true
