id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str,matched_control_id
B-rage-d1-v4,rage,B_clinical,1,167,166,llama8b_inst,"['anger', 'betrayal', 'shock', 'guilt', 'shame']",true,:,N-rage-d1-c4
B-rage-d2-v1,rage,B_clinical,2,156,155,llama8b_inst,"['relief', 'indifference', 'neutrality', '(', 'calm']",false,:,N-rage-d2-c1
B-rage-d2-v2,rage,B_clinical,2,163,162,llama8b_inst,"['anger', 'outrage', 'frustration', 'indign', 'rage']",true,:,N-rage-d2-c2
B-rage-d2-v3,rage,B_clinical,2,168,167,llama8b_inst,"['anger', 'outrage', 'frustration', 'disgust', 'indign']",true,:,N-rage-d2-c3
B-rage-d2-v4,rage,B_clinical,2,164,163,llama8b_inst,"['shock', 'anger', 'guilt', 'fear', 'anxiety']",true,:,N-rage-d2-c4
B-rage-d3-v1,rage,B_clinical,3,165,164,llama8b_inst,"['shock', 'anger', 'betrayal', 'outrage', 'disgust']",true,:,N-rage-d3-c1
B-rage-d3-v2,rage,B_clinical,3,151,150,llama8b_inst,"['anger', 'fear', 'anxiety', 'frustration', 'outrage']",true,:,N-rage-d3-c2
B-rage-d3-v3,rage,B_clinical,3,161,160,llama8b_inst,"['anger', 'resentment', 'bitterness', 'envy', 'jealousy']",true,:,N-rage-d3-c3
B-rage-d3-v4,rage,B_clinical,3,177,176,llama8b_inst,"['fear', 'anger', 'disgust', 'une', 'anxiety']",true,:,N-rage-d3-c4
B-terror-d1-v1,terror,B_clinical,1,165,164,llama8b_inst,"['fear', 'anxiety', 'tension', 'appreh', 'une']",true,:,N-terror-d1-c1
B-terror-d1-v2,terror,B_clinical,1,172,171,llama8b_inst,"['suspicion', 'paranoia', 'alert', 'anxiety', 'une']",false,:,N-terror-d1-c2
B-terror-d1-v3,terror,B_clinical,1,170,169,llama8b_inst,"['fear', 'anxiety', 'tension', 'concern', 'une']",true,:,N-terror-d1-c3
B-terror-d1-v4,terror,B_clinical,1,171,170,llama8b_inst,"['anxiety', 'fear', 'tension', 'frustration', 'appreh']",true,:,N-terror-d1-c4
B-terror-d2-v1,terror,B_clinical,2,181,180,llama8b_inst,"['anxiety', 'concern', 'worry', 'fear', 'une']",true,:,N-terror-d2-c1
B-terror-d2-v2,terror,B_clinical,2,178,177,llama8b_inst,"['anxiety', 'fear', 'worry', 'concern', 'distress']",true,:,N-terror-d2-c2
B-terror-d2-v3,terror,B_clinical,2,187,186,llama8b_inst,"['anxiety', 'fear', 'panic', 'worry', 'shock']",true,:,N-terror-d2-c3
B-terror-d2-v4,terror,B_clinical,2,184,183,llama8b_inst,"['fear', 'panic', 'anxiety', 'alarm', 'concern']",true,:,N-terror-d2-c4
B-terror-d3-v1,terror,B_clinical,3,194,193,llama8b_inst,"['fear', 'une', 'anxiety', 'concern', 'paranoia']",true,:,N-terror-d3-c1
B-terror-d3-v2,terror,B_clinical,3,168,167,llama8b_inst,"['anxiety', 'fear', 'une', 'appreh', 'paranoia']",true,:,N-terror-d3-c2
B-terror-d3-v3,terror,B_clinical,3,194,193,llama8b_inst,"['fear', 'une', 'anxiety', 'concern', 'alarm']",true,:,N-terror-d3-c3
B-terror-d3-v4,terror,B_clinical,3,189,188,llama8b_inst,"['fear', 'anxiety', 'une', 'paranoia', 'concern']",true,:,N-terror-d3-c4
B-vigilance-d1-v1,vigilance,B_clinical,1,208,207,llama8b_inst,"['concern', 'anxiety', 'alert', 'worry', 'vigil']",true,:,N-vigilance-d1-c1
B-vigilance-d1-v2,vigilance,B_clinical,1,209,208,llama8b_inst,"['anxiety', 'concern', 'worry', 'anxious', 'appreh']",true,:,N-vigilance-d1-c2
B-vigilance-d1-v3,vigilance,B_clinical,1,202,201,llama8b_inst,"['anxiety', 'worry', 'concern', 'anxious', 'tension']",true,:,N-vigilance-d1-c3
B-vigilance-d1-v4,vigilance,B_clinical,1,191,190,llama8b_inst,"['concern', 'alert', 'worry', 'alarm', 'anxiety']",true,:,N-vigilance-d1-c4
B-vigilance-d2-v1,vigilance,B_clinical,2,224,223,llama8b_inst,"['anxiety', 'focus', 'concern', 'concentration', 'tension']",true,:,N-vigilance-d2-c1
B-vigilance-d2-v2,vigilance,B_clinical,2,206,205,llama8b_inst,"['anticipation', 'tension', 'focus', 'curiosity', 'alert']",false,:,N-vigilance-d2-c2
B-vigilance-d2-v3,vigilance,B_clinical,2,201,200,llama8b_inst,"['focus', 'tension', 'concentration', 'anticipation', 'anxiety']",true,:,N-vigilance-d2-c3
B-vigilance-d2-v4,vigilance,B_clinical,2,211,210,llama8b_inst,"['focus', 'concentration', 'tension', 'contempl', 'anxiety']",true,:,N-vigilance-d2-c4
B-vigilance-d3-v1,vigilance,B_clinical,3,228,227,llama8b_inst,"['focus', 'alert', 'concentration', 'anticipation', 'focused']",false,:,N-vigilance-d3-c1
B-vigilance-d3-v2,vigilance,B_clinical,3,208,207,llama8b_inst,"['focus', 'anxiety', 'tension', 'concentration', 'concern']",true,:,N-vigilance-d3-c2
B-vigilance-d3-v3,vigilance,B_clinical,3,223,222,llama8b_inst,"['concern', 'anxiety', 'fear', 'alarm', 'alert']",true,:,N-vigilance-d3-c3
B-vigilance-d3-v4,vigilance,B_clinical,3,220,219,llama8b_inst,"['alert', 'vigil', 'concern', 'caution', 'anxiety']",true,:,N-vigilance-d3-c4
N-admiration-d1-c1,neutral,neutral,1,187,186,llama8b_inst,"['none', 'None', 'no', 'satisfaction', 'neutral']",false,:,B-admiration-d1-v1
N-admiration-d1-c2,neutral,neutral,1,174,173,llama8b_inst,"['none', 'None', 'neutrality', '(', 'neutral']",false,:,B-admiration-d1-v2
N-admiration-d1-c3,neutral,neutral,1,185,184,llama8b_inst,"['none', 'None', 'no', 'neutrality', '(']",false,:,B-admiration-d1-v3
N-admiration-d1-c4,neutral,neutral,1,182,181,llama8b_inst,"['none', 'None', 'neutrality', '(', 'neutral']",false,:,B-admiration-d1-v4
N-admiration-d2-c1,neutral,neutral,2,180,179,llama8b_inst,"['none', 'None', 'no', 'neutrality', '(']",false,:,B-admiration-d2-v1
N-admiration-d2-c2,neutral,neutral,2,181,180,llama8b_inst,"['none', 'None', 'no', 'neutrality', '(']",false,:,B-admiration-d2-v2
N-admiration-d2-c3,neutral,neutral,2,190,189,llama8b_inst,"['none', 'None', 'no', 'neutral', 'neutrality']",false,:,B-admiration-d2-v3
N-admiration-d2-c4,neutral,neutral,2,184,183,llama8b_inst,"['None', 'none', 'neutrality', 'neutral', '(']",false,:,B-admiration-d2-v4
N-admiration-d3-c1,neutral,neutral,3,180,179,llama8b_inst,"['relief', 'none', 'None', 'no', 'neutral']",false,:,B-admiration-d3-v1
N-admiration-d3-c2,neutral,neutral,3,180,179,llama8b_inst,"['none', 'None', 'no', 'neutral', '(']",false,:,B-admiration-d3-v2
N-admiration-d3-c3,neutral,neutral,3,196,195,llama8b_inst,"['relief', 'satisfaction', 'none', 'calm', 'neutral']",false,:,B-admiration-d3-v3
N-admiration-d3-c4,neutral,neutral,3,193,192,llama8b_inst,"['relief', 'none', 'hope', 'calm', '(']",false,:,B-admiration-d3-v4
N-amazement-d1-c1,neutral,neutral,1,186,185,llama8b_inst,"['calm', 'relief', 'none', 'None', 'no']",false,:,B-amazement-d1-v1
N-amazement-d1-c2,neutral,neutral,1,186,185,llama8b_inst,"['none', 'None', 'no', 'neutrality', 'neutral']",false,:,B-amazement-d1-v2
N-amazement-d1-c3,neutral,neutral,1,190,189,llama8b_inst,"['none', 'None', 'curiosity', 'calm', 'neutral']",false,:,B-amazement-d1-v3
N-amazement-d1-c4,neutral,neutral,1,196,195,llama8b_inst,"['None', 'none', 'neutrality', 'There', 'neutral']",false,:,B-amazement-d1-v4
N-amazement-d2-c1,neutral,neutral,2,181,180,llama8b_inst,"['none', 'None', 'no', 'neutrality', '(']",false,:,B-amazement-d2-v1
N-amazement-d2-c2,neutral,neutral,2,182,181,llama8b_inst,"['calm', 'none', 'satisfaction', 'professionalism', 'appreciation']",false,:,B-amazement-d2-v2
N-amazement-d2-c3,neutral,neutral,2,197,196,llama8b_inst,"['none', 'None', 'no', 'neutral', 'neutrality']",false,:,B-amazement-d2-v3
N-amazement-d2-c4,neutral,neutral,2,194,193,llama8b_inst,"['None', 'none', 'calm', '(', 'curiosity']",false,:,B-amazement-d2-v4
N-amazement-d3-c1,neutral,neutral,3,186,185,llama8b_inst,"['pride', 'warmth', 'affection', 'love', 'relief']",false,:,B-amazement-d3-v1
N-amazement-d3-c2,neutral,neutral,3,179,178,llama8b_inst,"['none', 'None', 'no', 'neutrality', '(']",false,:,B-amazement-d3-v2
N-amazement-d3-c3,neutral,neutral,3,180,179,llama8b_inst,"['none', 'None', 'neutrality', 'no', 'indifference']",false,:,B-amazement-d3-v3
N-amazement-d3-c4,neutral,neutral,3,178,177,llama8b_inst,"['none', 'None', 'neutral', 'curiosity', 'relief']",false,:,B-amazement-d3-v4
N-ecstasy-d1-c1,neutral,neutral,1,182,181,llama8b_inst,"['relief', 'calm', 'neutral', 'anticipation', 'Relief']",false,:,B-ecstasy-d1-v1
N-ecstasy-d1-c2,neutral,neutral,1,156,155,llama8b_inst,"['None', 'none', 'no', 'calm', '(']",false,:,B-ecstasy-d1-v2
N-ecstasy-d1-c3,neutral,neutral,1,178,177,llama8b_inst,"['relief', 'calm', 'satisfaction', 'none', 'neutral']",false,:,B-ecstasy-d1-v3
N-ecstasy-d1-c4,neutral,neutral,1,167,166,llama8b_inst,"['None', 'none', '(', 'neutral', 'neutrality']",false,:,B-ecstasy-d1-v4
N-ecstasy-d2-c1,neutral,neutral,2,174,173,llama8b_inst,"['relief', 'neutral', 'calm', 'neutrality', 'mild']",false,:,B-ecstasy-d2-v1
N-ecstasy-d2-c2,neutral,neutral,2,163,162,llama8b_inst,"['none', 'None', 'indifference', 'neutral', 'neutrality']",false,:,B-ecstasy-d2-v2
N-ecstasy-d2-c3,neutral,neutral,2,171,170,llama8b_inst,"['nostalgia', 'relief', 'neutral', 'mild', 'a']",false,:,B-ecstasy-d2-v3
N-ecstasy-d2-c4,neutral,neutral,2,175,174,llama8b_inst,"['none', 'None', 'neutral', 'neutrality', '(']",false,:,B-ecstasy-d2-v4
N-ecstasy-d3-c1,neutral,neutral,3,164,163,llama8b_inst,"['None', 'none', 'relief', '(', 'no']",false,:,B-ecstasy-d3-v1
N-ecstasy-d3-c2,neutral,neutral,3,165,164,llama8b_inst,"['none', 'None', 'no', 'calm', '(']",false,:,B-ecstasy-d3-v2
N-ecstasy-d3-c3,neutral,neutral,3,163,162,llama8b_inst,"['none', 'None', 'neutrality', '(', 'indifference']",false,:,B-ecstasy-d3-v3
N-ecstasy-d3-c4,neutral,neutral,3,178,177,llama8b_inst,"['none', 'None', '(', 'no', 'neutrality']",false,:,B-ecstasy-d3-v4
N-grief-d1-c1,neutral,neutral,1,151,150,llama8b_inst,"['none', 'None', 'relief', 'mild', 'routine']",false,:,B-grief-d1-v1
N-grief-d1-c2,neutral,neutral,1,145,144,llama8b_inst,"['none', 'None', 'neutral', 'neutrality', 'indifference']",false,:,B-grief-d1-v2
N-grief-d1-c3,neutral,neutral,1,151,150,llama8b_inst,"['calm', 'none', 'ser', 'None', 'tranqu']",false,:,B-grief-d1-v3
N-grief-d1-c4,neutral,neutral,1,150,149,llama8b_inst,"['indifference', 'neutrality', 'neutral', 'none', 'None']",false,:,B-grief-d1-v4
N-grief-d2-c1,neutral,neutral,2,160,159,llama8b_inst,"['none', 'indifference', 'None', 'neutrality', 'neutral']",false,:,B-grief-d2-v1
N-grief-d2-c2,neutral,neutral,2,166,165,llama8b_inst,"['satisfaction', 'content', 'none', 'calm', 'None']",false,:,B-grief-d2-v2
N-grief-d2-c3,neutral,neutral,2,149,148,llama8b_inst,"['none', 'None', 'neutrality', 'indifference', 'calm']",false,:,B-grief-d2-v3
N-grief-d2-c4,neutral,neutral,2,158,157,llama8b_inst,"['nostalgia', 'melanch', 'contempl', 'w', '(']",false,:,B-grief-d2-v4
N-grief-d3-c1,neutral,neutral,3,153,152,llama8b_inst,"['relief', 'calm', 'content', 'love', 'comfort']",false,:,B-grief-d3-v1
N-grief-d3-c2,neutral,neutral,3,160,159,llama8b_inst,"['nostalgia', 'relief', 'melanch', 'calm', 'contempl']",false,:,B-grief-d3-v2
N-grief-d3-c3,neutral,neutral,3,153,152,llama8b_inst,"['calm', 'affection', 'warmth', 'love', 'content']",false,:,B-grief-d3-v3
N-grief-d3-c4,neutral,neutral,3,152,151,llama8b_inst,"['none', 'None', 'no', 'indifference', 'neutral']",false,:,B-grief-d3-v4
N-loathing-d1-c1,neutral,neutral,1,154,153,llama8b_inst,"['none', 'None', 'neutrality', '(', 'no']",false,:,B-loathing-d1-v1
N-loathing-d1-c2,neutral,neutral,1,166,165,llama8b_inst,"['none', 'None', '(', 'neutrality', 'no']",false,:,B-loathing-d1-v2
N-loathing-d1-c3,neutral,neutral,1,161,160,llama8b_inst,"['None', 'none', '(', 'neutrality', 'There']",false,:,B-loathing-d1-v3
N-loathing-d1-c4,neutral,neutral,1,171,170,llama8b_inst,"['gratitude', 'appreciation', 'pride', 'none', '(']",false,:,B-loathing-d1-v4
N-loathing-d2-c1,neutral,neutral,2,166,165,llama8b_inst,"['none', 'indifference', 'None', 'neutrality', 'neutral']",false,:,B-loathing-d2-v1
N-loathing-d2-c2,neutral,neutral,2,174,173,llama8b_inst,"['none', 'None', 'curiosity', 'neutral', 'neutrality']",false,:,B-loathing-d2-v2
N-loathing-d2-c3,neutral,neutral,2,185,184,llama8b_inst,"['none', 'None', 'no', 'neutrality', 'neutral']",false,:,B-loathing-d2-v3
N-loathing-d2-c4,neutral,neutral,2,176,175,llama8b_inst,"['none', 'None', 'neutral', 'indifference', 'neutrality']",false,:,B-loathing-d2-v4
N-loathing-d3-c1,neutral,neutral,3,164,163,llama8b_inst,"['gratitude', 'appreciation', 'nostalgia', 'pride', 'admiration']",false,:,B-loathing-d3-v1
N-loathing-d3-c2,neutral,neutral,3,152,151,llama8b_inst,"['None', 'none', 'neutrality', 'no', '(']",false,:,B-loathing-d3-v2
N-loathing-d3-c3,neutral,neutral,3,163,162,llama8b_inst,"['None', 'none', 'no', 'neutrality', 'No']",false,:,B-loathing-d3-v3
N-loathing-d3-c4,neutral,neutral,3,164,163,llama8b_inst,"['None', 'none', 'no', 'neutrality', 'No']",false,:,B-loathing-d3-v4
N-rage-d1-c1,neutral,neutral,1,147,146,llama8b_inst,"['nostalgia', 'relief', 'calm', 'concern', 'reflection']",false,:,B-rage-d1-v1
N-rage-d1-c2,neutral,neutral,1,151,150,llama8b_inst,"['relief', 'satisfaction', 'calm', 'pride', 'accomplishment']",false,:,B-rage-d1-v2
N-rage-d1-c3,neutral,neutral,1,153,152,llama8b_inst,"['relief', 'calm', 'satisfaction', 'gratitude', 'content']",false,:,B-rage-d1-v3
N-rage-d1-c4,neutral,neutral,1,148,147,llama8b_inst,"['relief', 'calm', 'none', 'trust', '(']",false,:,B-rage-d1-v4
N-rage-d2-c1,neutral,neutral,2,136,135,llama8b_inst,"['None', 'none', '(', 'neutrality', 'no']",false,:,B-rage-d2-v1
N-rage-d2-c2,neutral,neutral,2,144,143,llama8b_inst,"['none', 'None', 'indifference', '(', 'likely']",false,:,B-rage-d2-v2
N-rage-d2-c3,neutral,neutral,2,150,149,llama8b_inst,"['relief', 'none', 'None', 'satisfaction', 'no']",false,:,B-rage-d2-v3
N-rage-d2-c4,neutral,neutral,2,146,145,llama8b_inst,"['None', 'none', '(', 'neutral', 'There']",false,:,B-rage-d2-v4
N-rage-d3-c1,neutral,neutral,3,145,144,llama8b_inst,"['none', 'None', '(', 'no', 'neutrality']",false,:,B-rage-d3-v1
N-rage-d3-c2,neutral,neutral,3,152,151,llama8b_inst,"['none', 'None', 'neutrality', '(', 'no']",false,:,B-rage-d3-v2
N-rage-d3-c3,neutral,neutral,3,148,147,llama8b_inst,"['none', 'None', 'neutrality', 'neutral', '(']",false,:,B-rage-d3-v3
N-rage-d3-c4,neutral,neutral,3,152,151,llama8b_inst,"['none', 'None', 'neutrality', 'neutral', 'no']",false,:,B-rage-d3-v4
N-terror-d1-c1,neutral,neutral,1,168,167,llama8b_inst,"['anxiety', 'une', 'tension', 'concern', 'appreh']",false,:,B-terror-d1-v1
N-terror-d1-c2,neutral,neutral,1,163,162,llama8b_inst,"['none', 'None', 'neutral', 'no', 'neutrality']",false,:,B-terror-d1-v2
N-terror-d1-c3,neutral,neutral,1,169,168,llama8b_inst,"['calm', 'none', 'None', 'boredom', 'no']",false,:,B-terror-d1-v3
N-terror-d1-c4,neutral,neutral,1,169,168,llama8b_inst,"['calm', 'None', 'none', 'neutral', '(']",false,:,B-terror-d1-v4
N-terror-d2-c1,neutral,neutral,2,169,168,llama8b_inst,"['relief', 'calm', 'none', 'neutrality', 'neutral']",false,:,B-terror-d2-v1
N-terror-d2-c2,neutral,neutral,2,170,169,llama8b_inst,"['calm', 'none', 'indifference', 'None', 'ser']",false,:,B-terror-d2-v2
N-terror-d2-c3,neutral,neutral,2,179,178,llama8b_inst,"['anxiety', 'anticipation', 'calm', 'nervous', 'excitement']",false,:,B-terror-d2-v3
N-terror-d2-c4,neutral,neutral,2,170,169,llama8b_inst,"['none', 'None', 'calm', 'anxiety', '(']",false,:,B-terror-d2-v4
