id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str
A-rage-09,rage,A_standard,,141,140,llama1b_base,"['anger', 'frustration', 'sadness', 'annoyance', 'irritation']",true,:
A-rage-10,rage,A_standard,,130,129,llama1b_base,"['anger', 'sadness', 'confusion', 'frustration', 'joy']",true,:
A-terror-01,terror,A_standard,,291,290,llama1b_base,"['fear', 'anger', 'sadness', 'shock', 'confusion']",true,:
A-terror-02,terror,A_standard,,149,148,llama1b_base,"['fear', 'surprise', 'relief', 'confusion', 'shock']",true,:
A-terror-03,terror,A_standard,,207,206,llama1b_base,"['fear', 'anger', 'sadness', 'shock', 'surprise']",true,:
A-terror-04,terror,A_standard,,167,166,llama1b_base,"['fear', 'relief', 'joy', 'surprise', 'happiness']",true,:
A-terror-05,terror,A_standard,,200,199,llama1b_base,"['anger', 'sadness', 'fear', 'confusion', 'guilt']",true,:
A-terror-06,terror,A_standard,,152,151,llama1b_base,"['fear', 'anger', 'terror', 'panic', 'sadness']",true,:
A-terror-07,terror,A_standard,,182,181,llama1b_base,"['fear', 'anger', 'sadness', 'anxiety', 'terror']",true,:
A-terror-08,terror,A_standard,,252,251,llama1b_base,"['fear', 'anger', 'sadness', 'anxiety', 'terror']",true,:
A-terror-09,terror,A_standard,,139,138,llama1b_base,"['fear', 'terror', 'panic', 'anxiety', 'anger']",true,:
A-terror-10,terror,A_standard,,269,268,llama1b_base,"['fear', 'surprise', 'anger', 'shock', 'terror']",true,:
A-vigilance-01,vigilance,A_standard,,135,134,llama1b_base,"['fear', 'anxiety', 'excitement', 'anticipation', 'surprise']",true,:
A-vigilance-02,vigilance,A_standard,,139,138,llama1b_base,"['fear', 'anxiety', 'worry', 'dread', 'sadness']",true,:
A-vigilance-03,vigilance,A_standard,,147,146,llama1b_base,"['fear', 'anxiety', 'anticipation', 'worry', 'dread']",true,:
A-vigilance-04,vigilance,A_standard,,142,141,llama1b_base,"['fear', 'anxiety', 'excitement', 'anticipation', 'stress']",true,:
A-vigilance-05,vigilance,A_standard,,134,133,llama1b_base,"['anticipation', 'anxiety', 'fear', 'excitement', 'nervous']",true,:
A-vigilance-06,vigilance,A_standard,,148,147,llama1b_base,"['fear', 'anxiety', 'stress', 'relief', 'worry']",true,:
A-vigilance-07,vigilance,A_standard,,140,139,llama1b_base,"['fear', 'anxiety', 'worry', 'sadness', 'concern']",true,:
A-vigilance-08,vigilance,A_standard,,145,144,llama1b_base,"['anticipation', 'excitement', 'anxiety', 'fear', 'surprise']",true,:
A-vigilance-09,vigilance,A_standard,,148,147,llama1b_base,"['fear', 'anxiety', 'excitement', 'anticipation', 'stress']",true,:
A-vigilance-10,vigilance,A_standard,,146,145,llama1b_base,"['anxiety', 'fear', 'worry', 'concern', 'anxious']",true,:
