id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str
A-amazement-07,amazement,A_standard,,153,152,llama1b_inst,"['surprise', 'excitement', 'joy', 'curiosity', 'happiness']",true,:
A-amazement-08,amazement,A_standard,,203,202,llama1b_inst,"['joy', 'surprise', 'happiness', 'excitement', 'love']",true,:
A-amazement-09,amazement,A_standard,,125,124,llama1b_inst,"['surprise', 'shock', 'disappointment', 'excitement', 'confusion']",true,:
A-amazement-10,amazement,A_standard,,147,146,llama1b_inst,"['disappointment', 'regret', 'frustration', 'relief', 'surprise']",true,:
A-ecstasy-01,ecstasy,A_standard,,132,131,llama1b_inst,"['joy', 'happiness', 'pride', 'el', 'relief']",true,:
A-ecstasy-02,ecstasy,A_standard,,147,146,llama1b_inst,"['joy', 'happiness', 'el', 'excitement', 'relief']",true,:
A-ecstasy-03,ecstasy,A_standard,,158,157,llama1b_inst,"['happiness', 'joy', 'relief', 'gratitude', 'excitement']",true,:
A-ecstasy-04,ecstasy,A_standard,,164,163,llama1b_inst,"['joy', 'happiness', 'immense', 'love', 'intense']",true,:
A-ecstasy-05,ecstasy,A_standard,,155,154,llama1b_inst,"['joy', 'relief', 'happiness', 'pride', 'mixed']",true,:
A-ecstasy-06,ecstasy,A_standard,,133,132,llama1b_inst,"['joy', 'happiness', 'excitement', 'el', 'pleasure']",true,:
A-ecstasy-07,ecstasy,A_standard,,165,164,llama1b_inst,"['joy', 'love', 'comfort', 'happiness', 'relief']",true,:
A-ecstasy-08,ecstasy,A_standard,,224,223,llama1b_inst,"['joy', 'happiness', 'surprise', 'excitement', 'pride']",true,:
A-ecstasy-09,ecstasy,A_standard,,151,150,llama1b_inst,"['excitement', 'delight', 'am', 'joy', 'wonder']",true,:
A-ecstasy-10,ecstasy,A_standard,,129,128,llama1b_inst,"['joy', 'happiness', 'extreme', 'excitement', 'love']",true,:
A-grief-01,grief,A_standard,,197,196,llama1b_inst,"['sadness', 'sorrow', 'grief', 'sad', 'melanch']",true,:
A-grief-02,grief,A_standard,,128,127,llama1b_inst,"['anger', 'sadness', 'resentment', 'guilt', 'frustration']",true,:
A-grief-03,grief,A_standard,,152,151,llama1b_inst,"['grief', 'sadness', 'sorrow', 'heart', 'shock']",true,:
A-grief-04,grief,A_standard,,248,247,llama1b_inst,"['sadness', 'sad', 'sorrow', 'fear', 'grief']",true,:
A-grief-05,grief,A_standard,,254,253,llama1b_inst,"['sadness', 'grief', 'sorrow', 'shock', 'sympathy']",true,:
A-grief-06,grief,A_standard,,127,126,llama1b_inst,"['sadness', 'empathy', 'sorrow', 'sad', 'happiness']",true,:
A-grief-07,grief,A_standard,,170,169,llama1b_inst,"['sadness', 'grief', 'sorrow', 'shock', 'sad']",true,:
A-grief-08,grief,A_standard,,125,124,llama1b_inst,"['sadness', 'grief', 'sorrow', 'sad', 'sympathy']",true,:
A-grief-09,grief,A_standard,,160,159,llama1b_inst,"['sadness', 'sad', 'depression', 'grief', 'sorrow']",true,:
A-grief-10,grief,A_standard,,157,156,llama1b_inst,"['sadness', 'regret', 'disappointment', 'confusion', 'frustration']",true,:
A-loathing-01,loathing,A_standard,,203,202,llama1b_inst,"['disgust', 'anger', 'rev', 'nausea', 'disgusted']",true,:
A-loathing-02,loathing,A_standard,,148,147,llama1b_inst,"['disgust', 'anger', 'frustration', 'disappointment', 'annoyance']",true,:
A-loathing-03,loathing,A_standard,,115,114,llama1b_inst,"['disgust', 'anger', 'contempt', 'annoyance', 'disappointment']",true,:
A-loathing-04,loathing,A_standard,,161,160,llama1b_inst,"['disgust', 'anger', 'shock', 'shame', 'guilt']",true,:
A-loathing-05,loathing,A_standard,,221,220,llama1b_inst,"['disgust', 'anxiety', 'nausea', 'discomfort', 'anger']",true,:
A-loathing-06,loathing,A_standard,,125,124,llama1b_inst,"['disgust', 'rev', 'nausea', 'rep', 'dist']",true,:
A-loathing-07,loathing,A_standard,,175,174,llama1b_inst,"['anger', 'disgust', 'sadness', 'guilt', 'shock']",true,:
A-loathing-08,loathing,A_standard,,128,127,llama1b_inst,"['disgust', 'rev', 'nausea', 'disgusted', 'dist']",true,:
A-loathing-09,loathing,A_standard,,121,120,llama1b_inst,"['disgust', 'rev', 'horror', 'anger', 'nausea']",true,:
A-loathing-10,loathing,A_standard,,196,195,llama1b_inst,"['disgust', 'discomfort', 'disappointment', 'nausea', 'guilt']",true,:
A-rage-01,rage,A_standard,,193,192,llama1b_inst,"['anger', 'frustration', 'resentment', 'sadness', 'irritation']",true,:
A-rage-02,rage,A_standard,,522,521,llama1b_inst,"['anger', 'sadness', 'frustration', 'guilt', 'rage']",true,:
A-rage-03,rage,A_standard,,156,155,llama1b_inst,"['anger', 'frustration', 'resentment', 'none', 'rage']",true,:
A-rage-04,rage,A_standard,,161,160,llama1b_inst,"['anger', 'rage', 'frustration', 'resentment', 'guilt']",true,:
A-rage-05,rage,A_standard,,132,131,llama1b_inst,"['anger', 'resentment', 'hurt', 'jealousy', 'frustration']",true,:
A-rage-06,rage,A_standard,,229,228,llama1b_inst,"['anger', 'frustration', 'fear', 'fury', 'rage']",true,:
A-rage-07,rage,A_standard,,142,141,llama1b_inst,"['anger', 'resentment', 'outrage', 'sadness', 'frustration']",true,:
A-rage-08,rage,A_standard,,257,256,llama1b_inst,"['anger', 'frustration', 'AN', 'Ang', 'irritation']",true,:
A-rage-09,rage,A_standard,,141,140,llama1b_inst,"['anger', 'frustration', 'irritation', 'rage', 'resentment']",true,:
A-rage-10,rage,A_standard,,130,129,llama1b_inst,"['anger', 'frustration', 'irritation', 'annoyance', 'anxiety']",true,:
A-terror-01,terror,A_standard,,291,290,llama1b_inst,"['fear', 'anxiety', 'anger', 'shock', 'panic']",true,:
A-terror-02,terror,A_standard,,149,148,llama1b_inst,"['fear', 'shock', 'surprise', 'confusion', 'grief']",true,:
A-terror-03,terror,A_standard,,207,206,llama1b_inst,"['fear', 'anxiety', 'shock', 'horror', 'panic']",true,:
A-terror-04,terror,A_standard,,167,166,llama1b_inst,"['fear', 'relief', 'anxiety', 'panic', 'surprise']",true,:
A-terror-05,terror,A_standard,,200,199,llama1b_inst,"['anger', 'sadness', 'anxiety', 'frustration', 'fear']",true,:
A-terror-06,terror,A_standard,,152,151,llama1b_inst,"['fear', 'anxiety', 'terror', 'panic', 'fright']",true,:
A-terror-07,terror,A_standard,,182,181,llama1b_inst,"['fear', 'anxiety', 'anger', 'worry', 'panic']",true,:
A-terror-08,terror,A_standard,,252,251,llama1b_inst,"['fear', 'anger', 'anxiety', 'Fear', 'sadness']",true,:
A-terror-09,terror,A_standard,,139,138,llama1b_inst,"['fear', 'anxiety', 'panic', 'terror', 'guilt']",true,:
A-terror-10,terror,A_standard,,269,268,llama1b_inst,"['fear', 'anger', 'surprise', 'shock', 'fright']",true,:
A-vigilance-01,vigilance,A_standard,,135,134,llama1b_inst,"['fear', 'anxiety', 'alarm', 'appreh', 'nervous']",true,:
A-vigilance-02,vigilance,A_standard,,139,138,llama1b_inst,"['fear', 'anxiety', 'worry', 'concern', 'panic']",true,:
A-vigilance-03,vigilance,A_standard,,147,146,llama1b_inst,"['anxiety', 'fear', 'worry', 'une', 'nervous']",true,:
A-vigilance-04,vigilance,A_standard,,142,141,llama1b_inst,"['fear', 'anxiety', 'excitement', 'concern', 'worry']",true,:
A-vigilance-05,vigilance,A_standard,,134,133,llama1b_inst,"['anxiety', 'nervous', 'anticipation', 'fear', 'excitement']",true,:
A-vigilance-06,vigilance,A_standard,,148,147,llama1b_inst,"['fear', 'anxiety', 'worry', 'concern', 'stress']",true,:
A-vigilance-07,vigilance,A_standard,,140,139,llama1b_inst,"['anxiety', 'fear', 'worry', 'concern', 'anxious']",true,:
A-vigilance-08,vigilance,A_standard,,145,144,llama1b_inst,"['anxiety', 'nervous', 'anticipation', 'fear', 'excitement']",true,:
A-vigilance-09,vigilance,A_standard,,148,147,llama1b_inst,"['anxiety', 'fear', 'stress', 'tension', 'excitement']",true,:
A-vigilance-10,vigilance,A_standard,,146,145,llama1b_inst,"['anxiety', 'worry', 'fear', 'nervous', 'concern']",true,:
