index,id,emotion,stimulus_set,domain,matched_control_id,word_count,n_tokens
39,B-grief-d1-v4,grief,B_clinical,1,N-grief-d1-c4,95,110
40,B-grief-d2-v1,grief,B_clinical,2,N-grief-d2-c1,91,114
41,B-grief-d2-v2,grief,B_clinical,2,N-grief-d2-c2,100,118
42,B-grief-d2-v3,grief,B_clinical,2,N-grief-d2-c3,94,107
43,B-grief-d2-v4,grief,B_clinical,2,N-grief-d2-c4,104,118
44,B-grief-d3-v1,grief,B_clinical,3,N-grief-d3-c1,99,113
45,B-grief-d3-v2,grief,B_clinical,3,N-grief-d3-c2,88,107
46,B-grief-d3-v3,grief,B_clinical,3,N-grief-d3-c3,94,109
47,B-grief-d3-v4,grief,B_clinical,3,N-grief-d3-c4,90,109
48,B-loathing-d1-v1,loathing,B_clinical,1,N-loathing-d1-c1,93,115
49,B-loathing-d1-v2,loathing,B_clinical,1,N-loathing-d1-c2,99,127
50,B-loathing-d1-v3,loathing,B_clinical,1,N-loathing-d1-c3,111,131
51,B-loathing-d1-v4,loathing,B_clinical,1,N-loathing-d1-c4,112,129
52,B-loathing-d2-v1,loathing,B_clinical,2,N-loathing-d2-c1,110,120
53,B-loathing-d2-v2,loathing,B_clinical,2,N-loathing-d2-c2,132,145
54,B-loathing-d2-v3,loathing,B_clinical,2,N-loathing-d2-c3,145,163
55,B-loathing-d2-v4,loathing,B_clinical,2,N-loathing-d2-c4,123,142
56,B-loathing-d3-v1,loathing,B_clinical,3,N-loathing-d3-c1,107,121
57,B-loathing-d3-v2,loathing,B_clinical,3,N-loathing-d3-c2,97,115
58,B-loathing-d3-v3,loathing,B_clinical,3,N-loathing-d3-c3,102,129
59,B-loathing-d3-v4,loathing,B_clinical,3,N-loathing-d3-c4,111,136
60,B-rage-d1-v1,rage,B_clinical,1,N-rage-d1-c1,82,96
61,B-rage-d1-v2,rage,B_clinical,1,N-rage-d1-c2,94,113
62,B-rage-d1-v3,rage,B_clinical,1,N-rage-d1-c3,94,113
63,B-rage-d1-v4,rage,B_clinical,1,N-rage-d1-c4,95,115
64,B-rage-d2-v1,rage,B_clinical,2,N-rage-d2-c1,91,104
65,B-rage-d2-v2,rage,B_clinical,2,N-rage-d2-c2,99,111
66,B-rage-d2-v3,rage,B_clinical,2,N-rage-d2-c3,97,116
67,B-rage-d2-v4,rage,B_clinical,2,N-rage-d2-c4,90,112
68,B-rage-d3-v1,rage,B_clinical,3,N-rage-d3-c1,100,113
69,B-rage-d3-v2,rage,B_clinical,3,N-rage-d3-c2,86,99
70,B-rage-d3-v3,rage,B_clinical,3,N-rage-d3-c3,97,109
71,B-rage-d3-v4,rage,B_clinical,3,N-rage-d3-c4,108,125
72,B-terror-d1-v1,terror,B_clinical,1,N-terror-d1-c1,95,113
73,B-terror-d1-v2,terror,B_clinical,1,N-terror-d1-c2,103,120
74,B-terror-d1-v3,terror,B_clinical,1,N-terror-d1-c3,100,118
75,B-terror-d1-v4,terror,B_clinical,1,N-terror-d1-c4,102,119
76,B-terror-d2-v1,terror,B_clinical,2,N-terror-d2-c1,111,129
77,B-terror-d2-v2,terror,B_clinical,2,N-terror-d2-c2,115,126
78,B-terror-d2-v3,terror,B_clinical,2,N-terror-d2-c3,119,135
79,B-terror-d2-v4,terror,B_clinical,2,N-terror-d2-c4,115,132
80,B-terror-d3-v1,terror,B_clinical,3,N-terror-d3-c1,121,142
81,B-terror-d3-v2,terror,B_clinical,3,N-terror-d3-c2,102,116
82,B-terror-d3-v3,terror,B_clinical,3,N-terror-d3-c3,107,142
83,B-terror-d3-v4,terror,B_clinical,3,N-terror-d3-c4,106,137
84,B-vigilance-d1-v1,vigilance,B_clinical,1,N-vigilance-d1-c1,138,156
85,B-vigilance-d1-v2,vigilance,B_clinical,1,N-vigilance-d1-c2,141,157
86,B-vigilance-d1-v3,vigilance,B_clinical,1,N-vigilance-d1-c3,127,150
87,B-vigilance-d1-v4,vigilance,B_clinical,1,N-vigilance-d1-c4,121,139
88,B-vigilance-d2-v1,vigilance,B_clinical,2,N-vigilance-d2-c1,140,172
89,B-vigilance-d2-v2,vigilance,B_clinical,2,N-vigilance-d2-c2,133,154
90,B-vigilance-d2-v3,vigilance,B_clinical,2,N-vigilance-d2-c3,134,149
91,B-vigilance-d2-v4,vigilance,B_clinical,2,N-vigilance-d2-c4,135,159
92,B-vigilance-d3-v1,vigilance,B_clinical,3,N-vigilance-d3-c1,142,176
93,B-vigilance-d3-v2,vigilance,B_clinical,3,N-vigilance-d3-c2,134,156
94,B-vigilance-d3-v3,vigilance,B_clinical,3,N-vigilance-d3-c3,144,171
95,B-vigilance-d3-v4,vigilance,B_clinical,3,N-vigilance-d3-c4,149,168
96,N-admiration-d1-c1,neutral,neutral,1,B-admiration-d1-v1,115,135
97,N-admiration-d1-c2,neutral,neutral,1,B-admiration-d1-v2,109,122
98,N-admiration-d1-c3,neutral,neutral,1,B-admiration-d1-v3,115,133
99,N-admiration-d1-c4,neutral,neutral,1,B-admiration-d1-v4,114,130
100,N-admiration-d2-c1,neutral,neutral,2,B-admiration-d2-v1,112,128
101,N-admiration-d2-c2,neutral,neutral,2,B-admiration-d2-v2,109,129
102,N-admiration-d2-c3,neutral,neutral,2,B-admiration-d2-v3,120,138
103,N-admiration-d2-c4,neutral,neutral,2,B-admiration-d2-v4,119,132
104,N-admiration-d3-c1,neutral,neutral,3,B-admiration-d3-v1,109,128
105,N-admiration-d3-c2,neutral,neutral,3,B-admiration-d3-v2,110,128
106,N-admiration-d3-c3,neutral,neutral,3,B-admiration-d3-v3,126,144
107,N-admiration-d3-c4,neutral,neutral,3,B-admiration-d3-v4,126,141
108,N-amazement-d1-c1,neutral,neutral,1,B-amazement-d1-v1,116,134
109,N-amazement-d1-c2,neutral,neutral,1,B-amazement-d1-v2,119,134
110,N-amazement-d1-c3,neutral,neutral,1,B-amazement-d1-v3,119,138
111,N-amazement-d1-c4,neutral,neutral,1,B-amazement-d1-v4,118,144
112,N-amazement-d2-c1,neutral,neutral,2,B-amazement-d2-v1,115,129
113,N-amazement-d2-c2,neutral,neutral,2,B-amazement-d2-v2,112,130
114,N-amazement-d2-c3,neutral,neutral,2,B-amazement-d2-v3,125,145
115,N-amazement-d2-c4,neutral,neutral,2,B-amazement-d2-v4,126,142
116,N-amazement-d3-c1,neutral,neutral,3,B-amazement-d3-v1,118,134
117,N-amazement-d3-c2,neutral,neutral,3,B-amazement-d3-v2,110,127
118,N-amazement-d3-c3,neutral,neutral,3,B-amazement-d3-v3,117,128
119,N-amazement-d3-c4,neutral,neutral,3,B-amazement-d3-v4,111,126
120,N-ecstasy-d1-c1,neutral,neutral,1,B-ecstasy-d1-v1,110,130
121,N-ecstasy-d1-c2,neutral,neutral,1,B-ecstasy-d1-v2,92,104
122,N-ecstasy-d1-c3,neutral,neutral,1,B-ecstasy-d1-v3,105,126
123,N-ecstasy-d1-c4,neutral,neutral,1,B-ecstasy-d1-v4,100,115
124,N-ecstasy-d2-c1,neutral,neutral,2,B-ecstasy-d2-v1,107,122
125,N-ecstasy-d2-c2,neutral,neutral,2,B-ecstasy-d2-v2,94,111
126,N-ecstasy-d2-c3,neutral,neutral,2,B-ecstasy-d2-v3,104,119
127,N-ecstasy-d2-c4,neutral,neutral,2,B-ecstasy-d2-v4,110,123
128,N-ecstasy-d3-c1,neutral,neutral,3,B-ecstasy-d3-v1,97,112
129,N-ecstasy-d3-c2,neutral,neutral,3,B-ecstasy-d3-v2,101,113
130,N-ecstasy-d3-c3,neutral,neutral,3,B-ecstasy-d3-v3,97,111
131,N-ecstasy-d3-c4,neutral,neutral,3,B-ecstasy-d3-v4,109,126
132,N-grief-d1-c1,neutral,neutral,1,B-grief-d1-v1,81,99
133,N-grief-d1-c2,neutral,neutral,1,B-grief-d1-v2,84,93
134,N-grief-d1-c3,neutral,neutral,1,B-grief-d1-v3,83,99
135,N-grief-d1-c4,neutral,neutral,1,B-grief-d1-v4,84,98
136,N-grief-d2-c1,neutral,neutral,2,B-grief-d2-v1,88,108
137,N-grief-d2-c2,neutral,neutral,2,B-grief-d2-v2,90,114
138,N-grief-d2-c3,neutral,neutral,2,B-grief-d2-v3,88,97
139,N-grief-d2-c4,neutral,neutral,2,B-grief-d2-v4,93,106
140,N-grief-d3-c1,neutral,neutral,3,B-grief-d3-v1,84,101
141,N-grief-d3-c2,neutral,neutral,3,B-grief-d3-v2,92,108
142,N-grief-d3-c3,neutral,neutral,3,B-grief-d3-v3,90,101
143,N-grief-d3-c4,neutral,neutral,3,B-grief-d3-v4,85,100
144,N-loathing-d1-c1,neutral,neutral,1,B-loathing-d1-v1,88,102
145,N-loathing-d1-c2,neutral,neutral,1,B-loathing-d1-v2,91,114
146,N-loathing-d1-c3,neutral,neutral,1,B-loathing-d1-v3,91,109
147,N-loathing-d1-c4,neutral,neutral,1,B-loathing-d1-v4,103,119
148,N-loathing-d2-c1,neutral,neutral,2,B-loathing-d2-v1,98,114
149,N-loathing-d2-c2,neutral,neutral,2,B-loathing-d2-v2,107,122
150,N-loathing-d2-c3,neutral,neutral,2,B-loathing-d2-v3,119,133
151,N-loathing-d2-c4,neutral,neutral,2,B-loathing-d2-v4,103,124
152,N-loathing-d3-c1,neutral,neutral,3,B-loathing-d3-v1,97,112
153,N-loathing-d3-c2,neutral,neutral,3,B-loathing-d3-v2,88,100
154,N-loathing-d3-c3,neutral,neutral,3,B-loathing-d3-v3,96,111
155,N-loathing-d3-c4,neutral,neutral,3,B-loathing-d3-v4,96,112
156,N-rage-d1-c1,neutral,neutral,1,B-rage-d1-v1,81,95
157,N-rage-d1-c2,neutral,neutral,1,B-rage-d1-v2,84,99
158,N-rage-d1-c3,neutral,neutral,1,B-rage-d1-v3,84,101
159,N-rage-d1-c4,neutral,neutral,1,B-rage-d1-v4,82,96
160,N-rage-d2-c1,neutral,neutral,2,B-rage-d2-v1,74,84
161,N-rage-d2-c2,neutral,neutral,2,B-rage-d2-v2,81,92
162,N-rage-d2-c3,neutral,neutral,2,B-rage-d2-v3,79,98
163,N-rage-d2-c4,neutral,neutral,2,B-rage-d2-v4,85,94
164,N-rage-d3-c1,neutral,neutral,3,B-rage-d3-v1,80,93
165,N-rage-d3-c2,neutral,neutral,3,B-rage-d3-v2,88,100
166,N-rage-d3-c3,neutral,neutral,3,B-rage-d3-v3,84,96
167,N-rage-d3-c4,neutral,neutral,3,B-rage-d3-v4,89,100
168,N-terror-d1-c1,neutral,neutral,1,B-terror-d1-v1,98,116
169,N-terror-d1-c2,neutral,neutral,1,B-terror-d1-v2,95,111
170,N-terror-d1-c3,neutral,neutral,1,B-terror-d1-v3,101,117
171,N-terror-d1-c4,neutral,neutral,1,B-terror-d1-v4,101,117
172,N-terror-d2-c1,neutral,neutral,2,B-terror-d2-v1,102,117
173,N-terror-d2-c2,neutral,neutral,2,B-terror-d2-v2,102,118
174,N-terror-d2-c3,neutral,neutral,2,B-terror-d2-v3,111,127
175,N-terror-d2-c4,neutral,neutral,2,B-terror-d2-v4,105,118
176,N-terror-d3-c1,neutral,neutral,3,B-terror-d3-v1,106,119
177,N-terror-d3-c2,neutral,neutral,3,B-terror-d3-v2,96,113
178,N-terror-d3-c3,neutral,neutral,3,B-terror-d3-v3,104,137
179,N-terror-d3-c4,neutral,neutral,3,B-terror-d3-v4,102,126
180,N-vigilance-d1-c1,neutral,neutral,1,B-vigilance-d1-v1,123,137
181,N-vigilance-d1-c2,neutral,neutral,1,B-vigilance-d1-v2,118,132
182,N-vigilance-d1-c3,neutral,neutral,1,B-vigilance-d1-v3,107,129
183,N-vigilance-d1-c4,neutral,neutral,1,B-vigilance-d1-v4,119,141
184,N-vigilance-d2-c1,neutral,neutral,2,B-vigilance-d2-v1,108,137
185,N-vigilance-d2-c2,neutral,neutral,2,B-vigilance-d2-v2,116,132
186,N-vigilance-d2-c3,neutral,neutral,2,B-vigilance-d2-v3,113,129
187,N-vigilance-d2-c4,neutral,neutral,2,B-vigilance-d2-v4,115,132
188,N-vigilance-d3-c1,neutral,neutral,3,B-vigilance-d3-v1,128,148
189,N-vigilance-d3-c2,neutral,neutral,3,B-vigilance-d3-v2,117,136
190,N-vigilance-d3-c3,neutral,neutral,3,B-vigilance-d3-v3,125,145
191,N-vigilance-d3-c4,neutral,neutral,3,B-vigilance-d3-v4,115,135
