index,id,emotion,stimulus_set,domain,matched_control_id,word_count,n_tokens
59,B-loathing-d3-v4,loathing,B_clinical,3,N-loathing-d3-c4,111,138
60,B-rage-d1-v1,rage,B_clinical,1,N-rage-d1-c1,82,100
61,B-rage-d1-v2,rage,B_clinical,1,N-rage-d1-c2,94,111
62,B-rage-d1-v3,rage,B_clinical,1,N-rage-d1-c3,94,116
63,B-rage-d1-v4,rage,B_clinical,1,N-rage-d1-c4,95,121
64,B-rage-d2-v1,rage,B_clinical,2,N-rage-d2-c1,91,103
65,B-rage-d2-v2,rage,B_clinical,2,N-rage-d2-c2,99,112
66,B-rage-d2-v3,rage,B_clinical,2,N-rage-d2-c3,97,122
67,B-rage-d2-v4,rage,B_clinical,2,N-rage-d2-c4,90,110
68,B-rage-d3-v1,rage,B_clinical,3,N-rage-d3-c1,100,114
69,B-rage-d3-v2,rage,B_clinical,3,N-rage-d3-c2,86,101
70,B-rage-d3-v3,rage,B_clinical,3,N-rage-d3-c3,97,109
71,B-rage-d3-v4,rage,B_clinical,3,N-rage-d3-c4,108,126
72,B-terror-d1-v1,terror,B_clinical,1,N-terror-d1-c1,95,113
73,B-terror-d1-v2,terror,B_clinical,1,N-terror-d1-c2,103,120
74,B-terror-d1-v3,terror,B_clinical,1,N-terror-d1-c3,100,117
75,B-terror-d1-v4,terror,B_clinical,1,N-terror-d1-c4,102,121
76,B-terror-d2-v1,terror,B_clinical,2,N-terror-d2-c1,111,129
77,B-terror-d2-v2,terror,B_clinical,2,N-terror-d2-c2,115,127
78,B-terror-d2-v3,terror,B_clinical,2,N-terror-d2-c3,119,136
79,B-terror-d2-v4,terror,B_clinical,2,N-terror-d2-c4,115,134
80,B-terror-d3-v1,terror,B_clinical,3,N-terror-d3-c1,121,145
81,B-terror-d3-v2,terror,B_clinical,3,N-terror-d3-c2,102,117
82,B-terror-d3-v3,terror,B_clinical,3,N-terror-d3-c3,107,148
83,B-terror-d3-v4,terror,B_clinical,3,N-terror-d3-c4,106,138
84,B-vigilance-d1-v1,vigilance,B_clinical,1,N-vigilance-d1-c1,138,156
85,B-vigilance-d1-v2,vigilance,B_clinical,1,N-vigilance-d1-c2,141,156
86,B-vigilance-d1-v3,vigilance,B_clinical,1,N-vigilance-d1-c3,127,158
87,B-vigilance-d1-v4,vigilance,B_clinical,1,N-vigilance-d1-c4,121,141
88,B-vigilance-d2-v1,vigilance,B_clinical,2,N-vigilance-d2-c1,140,165
89,B-vigilance-d2-v2,vigilance,B_clinical,2,N-vigilance-d2-c2,133,150
90,B-vigilance-d2-v3,vigilance,B_clinical,2,N-vigilance-d2-c3,134,149
91,B-vigilance-d2-v4,vigilance,B_clinical,2,N-vigilance-d2-c4,135,161
92,B-vigilance-d3-v1,vigilance,B_clinical,3,N-vigilance-d3-c1,142,175
93,B-vigilance-d3-v2,vigilance,B_clinical,3,N-vigilance-d3-c2,134,157
94,B-vigilance-d3-v3,vigilance,B_clinical,3,N-vigilance-d3-c3,144,172
95,B-vigilance-d3-v4,vigilance,B_clinical,3,N-vigilance-d3-c4,149,171
96,N-admiration-d1-c1,neutral,neutral,1,B-admiration-d1-v1,115,134
97,N-admiration-d1-c2,neutral,neutral,1,B-admiration-d1-v2,109,121
98,N-admiration-d1-c3,neutral,neutral,1,B-admiration-d1-v3,115,135
99,N-admiration-d1-c4,neutral,neutral,1,B-admiration-d1-v4,114,133
100,N-admiration-d2-c1,neutral,neutral,2,B-admiration-d2-v1,112,131
101,N-admiration-d2-c2,neutral,neutral,2,B-admiration-d2-v2,109,128
102,N-admiration-d2-c3,neutral,neutral,2,B-admiration-d2-v3,120,143
103,N-admiration-d2-c4,neutral,neutral,2,B-admiration-d2-v4,119,134
104,N-admiration-d3-c1,neutral,neutral,3,B-admiration-d3-v1,109,126
105,N-admiration-d3-c2,neutral,neutral,3,B-admiration-d3-v2,110,129
106,N-admiration-d3-c3,neutral,neutral,3,B-admiration-d3-v3,126,144
107,N-admiration-d3-c4,neutral,neutral,3,B-admiration-d3-v4,126,143
108,N-amazement-d1-c1,neutral,neutral,1,B-amazement-d1-v1,116,132
109,N-amazement-d1-c2,neutral,neutral,1,B-amazement-d1-v2,119,129
110,N-amazement-d1-c3,neutral,neutral,1,B-amazement-d1-v3,119,138
111,N-amazement-d1-c4,neutral,neutral,1,B-amazement-d1-v4,118,142
112,N-amazement-d2-c1,neutral,neutral,2,B-amazement-d2-v1,115,129
113,N-amazement-d2-c2,neutral,neutral,2,B-amazement-d2-v2,112,127
114,N-amazement-d2-c3,neutral,neutral,2,B-amazement-d2-v3,125,143
115,N-amazement-d2-c4,neutral,neutral,2,B-amazement-d2-v4,126,140
116,N-amazement-d3-c1,neutral,neutral,3,B-amazement-d3-v1,118,136
117,N-amazement-d3-c2,neutral,neutral,3,B-amazement-d3-v2,110,129
118,N-amazement-d3-c3,neutral,neutral,3,B-amazement-d3-v3,117,129
119,N-amazement-d3-c4,neutral,neutral,3,B-amazement-d3-v4,111,126
120,N-ecstasy-d1-c1,neutral,neutral,1,B-ecstasy-d1-v1,110,133
121,N-ecstasy-d1-c2,neutral,neutral,1,B-ecstasy-d1-v2,92,106
122,N-ecstasy-d1-c3,neutral,neutral,1,B-ecstasy-d1-v3,105,130
123,N-ecstasy-d1-c4,neutral,neutral,1,B-ecstasy-d1-v4,100,112
124,N-ecstasy-d2-c1,neutral,neutral,2,B-ecstasy-d2-v1,107,125
125,N-ecstasy-d2-c2,neutral,neutral,2,B-ecstasy-d2-v2,94,111
126,N-ecstasy-d2-c3,neutral,neutral,2,B-ecstasy-d2-v3,104,119
127,N-ecstasy-d2-c4,neutral,neutral,2,B-ecstasy-d2-v4,110,124
128,N-ecstasy-d3-c1,neutral,neutral,3,B-ecstasy-d3-v1,97,114
129,N-ecstasy-d3-c2,neutral,neutral,3,B-ecstasy-d3-v2,101,111
130,N-ecstasy-d3-c3,neutral,neutral,3,B-ecstasy-d3-v3,97,111
131,N-ecstasy-d3-c4,neutral,neutral,3,B-ecstasy-d3-v4,109,125
132,N-grief-d1-c1,neutral,neutral,1,B-grief-d1-v1,81,97
133,N-grief-d1-c2,neutral,neutral,1,B-grief-d1-v2,84,93
134,N-grief-d1-c3,neutral,neutral,1,B-grief-d1-v3,83,98
135,N-grief-d1-c4,neutral,neutral,1,B-grief-d1-v4,84,98
136,N-grief-d2-c1,neutral,neutral,2,B-grief-d2-v1,88,113
137,N-grief-d2-c2,neutral,neutral,2,B-grief-d2-v2,90,110
138,N-grief-d2-c3,neutral,neutral,2,B-grief-d2-v3,88,97
139,N-grief-d2-c4,neutral,neutral,2,B-grief-d2-v4,93,109
140,N-grief-d3-c1,neutral,neutral,3,B-grief-d3-v1,84,103
141,N-grief-d3-c2,neutral,neutral,3,B-grief-d3-v2,92,108
142,N-grief-d3-c3,neutral,neutral,3,B-grief-d3-v3,90,104
143,N-grief-d3-c4,neutral,neutral,3,B-grief-d3-v4,85,101
144,N-loathing-d1-c1,neutral,neutral,1,B-loathing-d1-v1,88,105
145,N-loathing-d1-c2,neutral,neutral,1,B-loathing-d1-v2,91,119
146,N-loathing-d1-c3,neutral,neutral,1,B-loathing-d1-v3,91,112
147,N-loathing-d1-c4,neutral,neutral,1,B-loathing-d1-v4,103,123
148,N-loathing-d2-c1,neutral,neutral,2,B-loathing-d2-v1,98,113
149,N-loathing-d2-c2,neutral,neutral,2,B-loathing-d2-v2,107,123
150,N-loathing-d2-c3,neutral,neutral,2,B-loathing-d2-v3,119,135
151,N-loathing-d2-c4,neutral,neutral,2,B-loathing-d2-v4,103,121
152,N-loathing-d3-c1,neutral,neutral,3,B-loathing-d3-v1,97,112
153,N-loathing-d3-c2,neutral,neutral,3,B-loathing-d3-v2,88,100
154,N-loathing-d3-c3,neutral,neutral,3,B-loathing-d3-v3,96,110
155,N-loathing-d3-c4,neutral,neutral,3,B-loathing-d3-v4,96,112
156,N-rage-d1-c1,neutral,neutral,1,B-rage-d1-v1,81,100
157,N-rage-d1-c2,neutral,neutral,1,B-rage-d1-v2,84,97
158,N-rage-d1-c3,neutral,neutral,1,B-rage-d1-v3,84,102
159,N-rage-d1-c4,neutral,neutral,1,B-rage-d1-v4,82,98
160,N-rage-d2-c1,neutral,neutral,2,B-rage-d2-v1,74,86
161,N-rage-d2-c2,neutral,neutral,2,B-rage-d2-v2,81,94
162,N-rage-d2-c3,neutral,neutral,2,B-rage-d2-v3,79,101
163,N-rage-d2-c4,neutral,neutral,2,B-rage-d2-v4,85,97
164,N-rage-d3-c1,neutral,neutral,3,B-rage-d3-v1,80,95
165,N-rage-d3-c2,neutral,neutral,3,B-rage-d3-v2,88,102
166,N-rage-d3-c3,neutral,neutral,3,B-rage-d3-v3,84,97
167,N-rage-d3-c4,neutral,neutral,3,B-rage-d3-v4,89,103
168,N-terror-d1-c1,neutral,neutral,1,B-terror-d1-v1,98,117
169,N-terror-d1-c2,neutral,neutral,1,B-terror-d1-v2,95,110
170,N-terror-d1-c3,neutral,neutral,1,B-terror-d1-v3,101,118
171,N-terror-d1-c4,neutral,neutral,1,B-terror-d1-v4,101,119
172,N-terror-d2-c1,neutral,neutral,2,B-terror-d2-v1,102,118
173,N-terror-d2-c2,neutral,neutral,2,B-terror-d2-v2,102,119
174,N-terror-d2-c3,neutral,neutral,2,B-terror-d2-v3,111,126
175,N-terror-d2-c4,neutral,neutral,2,B-terror-d2-v4,105,120
176,N-terror-d3-c1,neutral,neutral,3,B-terror-d3-v1,106,119
177,N-terror-d3-c2,neutral,neutral,3,B-terror-d3-v2,96,117
178,N-terror-d3-c3,neutral,neutral,3,B-terror-d3-v3,104,145
179,N-terror-d3-c4,neutral,neutral,3,B-terror-d3-v4,102,129
180,N-vigilance-d1-c1,neutral,neutral,1,B-vigilance-d1-v1,123,135
181,N-vigilance-d1-c2,neutral,neutral,1,B-vigilance-d1-v2,118,134
182,N-vigilance-d1-c3,neutral,neutral,1,B-vigilance-d1-v3,107,133
183,N-vigilance-d1-c4,neutral,neutral,1,B-vigilance-d1-v4,119,139
184,N-vigilance-d2-c1,neutral,neutral,2,B-vigilance-d2-v1,108,134
185,N-vigilance-d2-c2,neutral,neutral,2,B-vigilance-d2-v2,116,130
186,N-vigilance-d2-c3,neutral,neutral,2,B-vigilance-d2-v3,113,132
187,N-vigilance-d2-c4,neutral,neutral,2,B-vigilance-d2-v4,115,130
188,N-vigilance-d3-c1,neutral,neutral,3,B-vigilance-d3-v1,128,145
189,N-vigilance-d3-c2,neutral,neutral,3,B-vigilance-d3-v2,117,134
190,N-vigilance-d3-c3,neutral,neutral,3,B-vigilance-d3-v3,125,147
191,N-vigilance-d3-c4,neutral,neutral,3,B-vigilance-d3-v4,115,139
